"data";"Grupo";"B1";"B2";"B3";"B4";"L1";"L2"
2021-05-14;"PREFIXADOS";0.109192888482247;-0.0745533338471685;-0.0544971153731941;-0.025252420701098;2.19324039845337;0.451052155802162
2021-05-14;"IPCA";0.0532172011238316;-0.0430222190287252;-0.0552074146541133;-0.014980198214126;1.23585964820444;0.0751675092502207
2021-05-17;"PREFIXADOS";0.109230414759576;-0.074072255494481;-0.055775815743825;-0.0286557054445823;2.2370471153257;0.44983607250296
2021-05-17;"IPCA";0.0542553984511471;-0.0406661230234895;-0.0652734806486307;-0.0195847439499536;1.25285153219733;0.0804724460648961
2021-05-18;"PREFIXADOS";0.109859084421247;-0.0743341200641182;-0.0579037896417666;-0.027157929274008;2.26484745455776;0.444358402288022
2021-05-18;"IPCA";0.0605083832093201;-0.0448579778520372;-0.077512218922066;-0.0353213193657039;1.25431578180028;0.0813924422589749
2021-05-19;"PREFIXADOS";0.11181491811484;-0.0760618349321561;-0.0586564350677711;-0.0313805063747836;2.27743006641799;0.442030939769029
2021-05-19;"IPCA";0.0589607163286986;-0.0461276517986159;-0.0683104748617631;-0.0315444787364464;1.25951332714482;0.0832856734487585
2021-05-20;"PREFIXADOS";0.11246242963358;-0.0760646760282352;-0.0593469110920948;-0.03707408125598;2.28080580337847;0.441028474449175
2021-05-20;"IPCA";0.0578466946038916;-0.0428794221856817;-0.0716516119551214;-0.0289967671200243;1.26937984186691;0.0873015514665254
2021-05-21;"PREFIXADOS";0.113738315287192;-0.0777959668603684;-0.0576284590299408;-0.0436859492160173;2.29614692455381;0.438126926289414
2021-05-21;"IPCA";0.0579167355352362;-0.044016011269693;-0.0716377262024902;-0.0292114999742721;1.28047801753573;0.0918012605476339
2021-05-24;"PREFIXADOS";0.111972486874509;-0.0755536005461026;-0.0561554880427483;-0.034902204530539;2.25223969378425;0.446942633371511
2021-05-24;"IPCA";0.0587855220609891;-0.0479524676590548;-0.0727602337363362;-0.0310507153428399;1.32624512062275;0.0840759184905935
2021-05-25;"PREFIXADOS";0.11159105250795;-0.0749472321965741;-0.0557139091872453;-0.0373177872527446;2.24193381173613;0.456808241293113
2021-05-25;"IPCA";0.0576306622882434;-0.0470470738287782;-0.0705141025181101;-0.028467622108167;1.39342017958135;0.085601657213266
2021-05-26;"PREFIXADOS";0.112305428454362;-0.0757232766431247;-0.0540644098546037;-0.0436804654261754;2.24200602609498;0.456808241293337
2021-05-26;"IPCA";0.0601167073411389;-0.0459676472394163;-0.0778533247215817;-0.0373852927004186;1.40098316327898;0.088160336133719
2021-05-27;"PREFIXADOS";0.112435961322073;-0.076448511749317;-0.0492842242942992;-0.0521049429876694;2.25572270071735;0.45604972158663
2021-05-27;"IPCA";0.0596883494016447;-0.038065433271496;-0.0863288254968908;-0.0375115357621128;1.40370231077404;0.0912597653156476
2021-05-28;"PREFIXADOS";0.112698481006839;-0.0771592228012485;-0.0452084386151947;-0.0582232688305671;2.28173941912494;0.455956952994643
2021-05-28;"IPCA";0.0603516008509192;-0.0391873337517469;-0.0878826433494918;-0.0395968835290065;1.34988529295131;0.0925558176354179
